iteracao FITNESS
0 20000
200 11219.525157045879
400 11219.525157045879
600 11219.525157045879
800 11195.691561322366
1000 11195.691561322366
0 20000
200 11106.467945725217
400 11106.467945725217
600 11106.467945725217
800 11106.467945725217
1000 11106.467945725217
0 20000
200 11224.362681524983
400 11118.79587410367
600 11118.79587410367
800 11013.15033633526
1000 11013.15033633526
0 20000
200 11195.691561322366
400 11195.691561322366
600 11195.691561322366
800 11193.511689153213
1000 11193.511689153213
0 20000
200 11101.485149121234
400 11101.485149121234
600 10929.59506749857
800 10929.59506749857
1000 10929.59506749857
0 20000
200 10896.28957169563
400 10896.28957169563
600 10896.28957169563
800 10896.28957169563
1000 10896.28957169563
0 20000
200 11280.028244951656
400 11211.601876912373
600 11102.00530817954
800 11102.00530817954
1000 11102.00530817954
0 20000
200 11195.691561322366
400 11195.691561322366
600 11195.691561322366
800 11195.691561322366
1000 11195.691561322366
0 20000
200 11102.005308179543
400 11080.858378251378
600 11080.858378251378
800 11080.858378251378
1000 11080.858378251378
0 20000
200 11203.61484145587
400 11147.254835289066
600 11147.254835289066
800 11147.254835289066
1000 11147.254835289066
0 20000
200 11164.211603765403
400 10898.115109941611
600 10898.115109941611
800 10898.115109941611
1000 10898.115109941611
0 20000
200 11195.691561322365
400 11161.009202547848
600 11161.009202547848
800 11161.009202547848
1000 11161.009202547848
0 20000
200 11080.858378251378
400 11080.858378251378
600 11080.858378251378
800 11080.858378251378
1000 11080.858378251378
0 20000
200 11263.324326353042
400 11171.138618010866
600 11118.79587410367
800 11105.482707358866
1000 11105.482707358866
0 20000
200 11104.514945222316
400 11104.514945222316
600 11050.113278927805
800 11050.113278927805
1000 11050.113278927805
0 20000
200 11204.000768244654
400 11159.745276514277
600 11159.745276514277
800 11106.467945725217
1000 11106.467945725217
0 20000
200 11219.525157045879
400 11219.525157045879
600 11219.525157045879
800 11195.691561322366
1000 11195.691561322366
0 20000
200 11106.467945725217
400 11106.467945725217
600 11106.467945725217
800 11106.467945725217
1000 11106.467945725217
0 20000
200 11224.362681524983
400 11118.79587410367
600 11118.79587410367
800 11013.15033633526
1000 11013.15033633526
0 20000
200 11195.691561322366
400 11195.691561322366
600 11195.691561322366
800 11193.511689153213
1000 11193.511689153213
0 20000
200 11101.485149121234
400 11101.485149121234
600 10929.59506749857
800 10929.59506749857
1000 10929.59506749857
0 20000
200 10896.28957169563
400 10896.28957169563
600 10896.28957169563
800 10896.28957169563
1000 10896.28957169563
0 20000
200 11280.028244951656
400 11211.601876912373
600 11102.00530817954
800 11102.00530817954
1000 11102.00530817954
0 20000
200 11195.691561322366
400 11195.691561322366
600 11195.691561322366
800 11195.691561322366
1000 11195.691561322366
0 20000
200 11102.005308179543
400 11080.858378251378
600 11080.858378251378
800 11080.858378251378
1000 11080.858378251378
0 20000
200 11203.61484145587
400 11147.254835289066
600 11147.254835289066
800 11147.254835289066
1000 11147.254835289066
0 20000
200 11218.577054498945
400 11218.577054498945
600 11147.913796723595
800 11147.913796723595
1000 11147.913796723595
0 20000
200 11105.482707358866
400 11094.574994088473
600 11094.574994088473
800 11092.501409310524
1000 11092.501409310524
0 20000
200 11221.50523200465
400 11001.746443862665
600 10937.518347632074
800 10937.518347632074
1000 10937.518347632074
0 20000
200 11175.655592104285
400 11026.48369695548
600 11026.48369695548
800 11026.48369695548
1000 11026.48369695548
