amostra	GBEST
1	290.38221
20	224.81796
40	223.262653
60	223.262653
80	203.6918
100	192.210641
1	300.468645
20	206.80432
40	206.80432
60	206.80432
80	206.80432
100	206.80432
1	300.080272
20	234.591273
40	222.503068
60	221.709005
80	221.709005
100	221.709005
1	339.389143
20	219.243262
40	219.243262
60	190.695345
80	190.695345
100	190.695345
1	338.233665
20	246.870562
40	239.975865
60	232.475007
80	219.934911
100	214.27882
1	292.914483
20	222.003787
40	222.003787
60	222.003787
80	222.003787
100	219.737861
1	330.84747
20	217.554088
40	213.253018
60	213.253018
80	198.027481
100	198.027481
1	325.463799
20	223.371424
40	223.371424
60	223.371424
80	184.948729
100	184.948729
1	289.501043
20	241.02567
40	230.317805
60	230.317805
80	218.501933
100	218.501933
1	347.967819
20	216.993916
40	188.436921
60	188.436921
80	188.436921
100	188.436921
1	318.044596
20	216.275654
40	216.275654
60	216.275654
80	216.275654
100	216.275654
1	387.294051
20	193.566552
40	193.566552
60	193.566552
80	193.566552
100	193.566552
1	308.277364
20	187.779365
40	187.779365
60	187.779365
80	187.779365
100	187.779365
1	271.763771
20	228.241976
40	228.241976
60	214.445924
80	214.445924
100	212.230953
1	333.244664
20	214.291635
40	214.291635
60	214.291635
80	214.291635
100	214.291635
1	329.568418
20	212.642425
40	212.642425
60	204.50082
80	204.50082
100	204.50082
1	306.983154
20	216.899317
40	212.539755
60	212.539755
80	212.539755
100	212.539755
1	299.926894
20	249.369846
40	232.368244
60	229.848626
80	198.643445
100	198.643445
1	295.979258
20	226.47147
40	226.47147
60	226.47147
80	214.511463
100	214.511463
1	347.261522
20	238.828791
40	228.138626
60	216.546776
80	216.546776
100	183.652218
1	314.105303
20	229.043961
40	207.255986
60	207.255986
80	207.255986
100	207.255986
1	336.395218
20	226.279501
40	222.913538
60	207.557764
80	175.889018
100	175.889018
1	353.426958
20	187.656394
40	187.656394
60	187.656394
80	187.656394
100	186.08911
1	309.161009
20	220.825316
40	220.825316
60	215.775658
80	215.775658
100	215.775658
1	322.921287
20	234.26281
40	228.761047
60	204.603353
80	204.603353
100	204.603353
1	327.385054
20	221.153406
40	217.638604
60	217.638604
80	212.009773
100	212.009773
1	335.55247
20	229.045406
40	197.901934
60	197.901934
80	197.901934
100	197.901934
1	303.968366
20	244.844114
40	215.568053
60	215.568053
80	196.865898
100	196.865898
1	325.286653
20	244.041569
40	228.768424
60	228.768424
80	228.294373
100	222.864276
1	311.019274
20	203.891792
40	203.891792
60	202.944417
80	202.944417
100	202.944417
