amostra	GBEST
1	356.639575
20	234.32314
40	234.32314
60	234.32314
80	234.32314
100	23.432314
1	344.147594
20	244.916909
40	241.406058
60	241.406058
80	241.406058
100	241.406058
1	359.972541
20	231.870221
40	231.870221
60	231.870221
80	178.955753
100	178.955753
1	362.99342
20	248.761156
40	233.977918
60	213.068409
80	213.068409
100	213.068409
1	371.829639
20	257.770842
40	247.311044
60	247.311044
80	241.645475
100	241.645475
1	341.234946
20	220.623833
40	220.623833
60	220.623833
80	220.623833
100	203.938253
1	346.961622
20	200.504407
40	200.504407
60	200.504407
80	200.504407
100	200.504407
1	321.695825
20	252.809647
40	242.573599
60	226.288542
80	226.288542
100	223.335706
1	355.544516
20	235.006014
40	235.006014
60	235.006014
80	235.006014
100	232.695833
1	320.970107
20	250.606687
40	250.606687
60	248.369365
80	248.369365
100	248.369365
1	409.036993
20	223.690848
40	209.08918
60	209.08918
80	209.08918
100	209.08918
1	310.870381
20	258.593874
40	213.878387
60	213.878387
80	213.878387
100	213.878387
1	355.95743
20	244.417959
40	244.417959
60	240.577178
80	237.672371
100	236.711058
1	385.999661
20	218.418242
40	218.418242
60	218.418242
80	218.418242
100	218.418242
1	310.007029
20	244.714526
40	244.714526
60	244.714526
80	244.714526
100	244.714526
1	331.416878
20	229.548581
40	229.548581
60	229.548581
80	229.548581
100	229.548581
1	347.072706
20	253.481269
40	213.534755
60	213.534755
80	213.534755
100	213.534755
1	364.272189
20	230.065637
40	230.065637
60	222.150233
80	222.150233
100	222.150233
1	336.491783
20	244.140158
40	234.114827
60	234.114827
80	234.114827
100	221.881072
1	346.492196
20	262.319776
40	255.862219
60	223.417013
80	223.417013
100	223.417013
1	342.848277
20	220.785017
40	220.785017
60	220.785017
80	220.785017
100	220.785017
1	353.525223
20	224.666947
40	224.666947
60	224.666947
80	224.666947
100	224.666947
1	352.156236
20	240.377703
40	230.949119
60	230.378319
80	230.378319
100	230.378319
1	337.778724
20	260.128772
40	229.772507
60	229.772507
80	229.772507
100	229.772507
1	318.621134
20	250.243132
40	240.392815
60	163.627864
80	163.627864
100	163.627864
1	352.312213
20	268.388382
40	254.034372
60	245.667906
80	221.880763
100	221.880763
1	344.351817
20	253.271269
40	245.807341
60	242.655656
80	237.783664
100	224.20148
1	335.298972
20	231.959793
40	231.959793
60	231.959793
80	231.959793
100	231.959793
1	314.80658
20	252.704479
40	244.147264
60	235.211826
80	235.211826
100	235.211826
1	344.0783
20	239.240524
40	210.053532
60	210.053532
80	196.385273
100	196.385273
