x	GBEST
1	356.639575
2	317.734535
3	317.734535
4	307.054702
5	307.054702
6	307.054702
7	259.613394
8	259.613394
9	259.613394
10	259.613394
11	250.84411
12	234.32314
13	234.32314
14	234.32314
15	234.32314
16	234.32314
17	234.32314
18	234.32314
19	234.32314
20	234.32314
21	234.32314
22	234.32314
23	234.32314
24	234.32314
25	234.32314
26	234.32314
27	234.32314
28	234.32314
29	234.32314
30	234.32314
31	234.32314
32	234.32314
33	234.32314
34	234.32314
35	234.32314
36	234.32314
37	234.32314
38	234.32314
39	234.32314
40	234.32314
41	234.32314
42	234.32314
43	234.32314
44	234.32314
45	234.32314
46	234.32314
47	234.32314
48	234.32314
49	234.32314
50	234.32314
51	234.32314
52	234.32314
53	234.32314
54	234.32314
55	234.32314
56	234.32314
57	234.32314
58	234.32314
59	234.32314
60	234.32314
61	234.32314
62	234.32314
63	234.32314
64	234.32314
65	234.32314
66	234.32314
67	234.32314
68	234.32314
69	234.32314
70	234.32314
71	234.32314
72	234.32314
73	234.32314
74	234.32314
75	234.32314
76	234.32314
77	234.32314
78	234.32314
79	234.32314
80	234.32314
81	234.32314
82	234.32314
83	234.32314
84	234.32314
85	234.32314
86	234.32314
87	234.32314
88	234.32314
89	234.32314
90	234.32314
91	234.32314
92	234.32314
93	234.32314
94	234.32314
95	234.32314
96	234.32314
97	234.32314
98	234.32314
99	234.32314
100	234.32314
