amostra	GBEST
1	374.330568
20	255.273049
40	255.273049
60	255.273049
80	255.273049
100	251.390601
1	298.14664
20	267.982561
40	267.982561
60	250.11843
80	250.11843
100	250.11843
1	374.975247
20	301.267082
40	287.42285
60	287.42285
80	275.970189
100	275.970189
1	377.541774
20	267.5586
40	267.5586
60	267.5586
80	267.5586
100	257.370124
1	324.927439
20	280.250872
40	280.250872
60	260.698864
80	260.698864
100	260.698864
1	378.89634
20	297.857734
40	289.786897
60	289.786897
80	271.365149
100	256.260605
1	357.384866
20	259.115812
40	258.767316
60	258.767316
80	258.767316
100	258.767316
1	366.713057
20	292.36742
40	262.151343
60	262.151343
80	262.151343
100	262.151343
1	352.679348
20	295.59467
40	287.730581
60	261.741308
80	254.681157
100	254.681157
1	344.736992
20	290.296903
40	274.300553
60	274.300553
80	261.900029
100	261.900029
1	353.715877
20	264.650842
40	264.650842
60	264.650842
80	264.650842
100	264.650842
1	387.067053
20	285.568854
40	285.568854
60	274.550832
80	239.670751
100	239.670751
1	367.36959
20	264.839346
40	264.839346
60	264.839346
80	248.6833
100	248.6833
1	386.545449
20	284.0468
40	258.251814
60	258.251814
80	258.251814
100	258.251814
1	362.377943
20	274.83273
40	274.83273
60	274.83273
80	274.83273
100	268.568107
1	344.395031
20	276.387208
40	276.387208
60	256.620727
80	256.620727
100	256.620727
1	341.196527
20	310.177388
40	284.213791
60	245.780097
80	245.780097
100	245.780097
1	325.487906
20	259.461528
40	259.461528
60	259.461528
80	259.461528
100	259.461528
1	348.458171
20	289.435469
40	254.210976
60	254.210976
80	254.210976
100	254.210976
1	380.867398
20	266.564703
40	266.564703
60	257.56631
80	257.56631
100	257.56631
1	398.579312
20	311.480658
40	261.70512
60	261.70512
80	261.70512
100	261.70512
1	387.867477
20	300.902762
40	251.83187
60	251.83187
80	251.83187
100	251.83187
1	346.106536
20	282.814959
40	261.643384
60	261.643384
80	261.643384
100	261.643384
1	375.091075
20	259.464352
40	259.464352
60	259.464352
80	259.464352
100	259.464352
1	334.377534
20	299.446096
40	286.91792
60	247.34731
80	247.34731
100	247.34731
1	365.335465
20	273.372159
40	273.372159
60	250.708222
80	246.711044
100	246.711044
1	387.752399
20	289.756158
40	286.654914
60	270.972291
80	270.972291
100	270.972291
1	363.835146
20	266.202954
40	251.897182
60	251.897182
80	242.376279
100	242.376279
1	359.83672
20	268.315127
40	268.315127
60	268.315127
80	256.870973
100	256.870973
1	401.10469
20	262.05167
40	262.05167
60	262.05167
80	262.05167
100	262.05167
