amostra	GBEST
1	230.503266
20	230.503266
40	230.503266
60	230.503266
80	230.503266
100	230.503266
1	328.001164
20	269.759704
40	264.353751
60	234.127154
80	234.127154
100	234.127154
1	379.951377
20	232.017525
40	232.017525
60	232.017525
80	232.017525
100	232.017525
1	361.52568
20	299.296156
40	299.296156
60	252.082269
80	252.082269
100	252.082269
1	359.115786
20	254.705521
40	254.705521
60	254.705521
80	254.705521
100	254.705521
1	341.942275
20	278.373839
40	274.37742
60	240.749965
80	240.749965
100	240.749965
1	341.61874
20	280.747575
40	254.143594
60	254.143594
80	236.201685
100	236.201685
1	390.962707
20	249.402427
40	249.402427
60	228.133885
80	228.133885
100	228.133885
1	423.352015
20	243.572733
40	243.572733
60	243.572733
80	243.572733
100	241.645711
1	396.291126
20	281.448344
40	245.094555
60	245.094555
80	245.094555
100	245.094555
1	321.214149
20	278.111495
40	223.219221
60	223.219221
80	223.219221
100	223.219221
1	381.269844
20	266.232958
40	266.232958
60	266.232958
80	266.232958
100	266.232958
1	259.427145
20	259.427145
40	259.427145
60	259.427145
80	239.663254
100	239.663254
1	332.861468
20	262.843512
40	262.843512
60	259.961841
80	259.961841
100	246.038475
1	360.218307
20	286.539607
40	242.587093
60	242.587093
80	242.587093
100	242.587093
1	338.420296
20	275.13649
40	272.979455
60	271.787957
80	262.363962
100	262.363962
1	341.560461
20	259.448335
40	259.448335
60	259.448335
80	259.448335
100	241.101747
1	385.446277
20	304.767743
40	251.887347
60	246.404794
80	246.404794
100	246.404794
1	357.117685
20	258.328657
40	258.328657
60	258.328657
80	227.943807
100	227.943807
1	322.350991
20	293.9601
40	293.9601
60	293.9601
80	248.345601
100	248.345601
1	392.972189
20	281.074232
40	215.368611
60	215.368611
80	215.368611
100	215.368611
1	299.670307
20	281.511192
40	256.049322
60	256.049322
80	209.162106
100	209.162106
1	343.728144
20	252.004624
40	252.004624
60	252.004624
80	252.004624
100	252.004624
1	387.640044
20	294.045404
40	268.460518
60	230.248495
80	230.248495
100	230.248495
1	365.899802
20	285.418565
40	251.256893
60	251.256893
80	251.256893
100	251.256893
1	399.367907
20	305.052351
40	291.252191
60	288.178558
80	288.178558
100	287.43333
1	383.837486
20	270.429336
40	254.273353
60	254.273353
80	254.273353
100	254.273353
1	376.907966
20	277.358491
40	260.153753
60	260.153753
80	232.63807
100	231.661988
1	350.487892
20	294.583607
40	280.160108
60	262.243019
80	218.029601
100	218.029601
1	334.456226
20	264.016698
40	264.016698
60	264.016698
80	264.016698
100	264.016698
