experimento1, experimento2, experimento3, experimento4, experimento5, experimento6, experimento7, experimento8, experimento9, experimento10, experimento11, experimento12, experimento13, experimento14, experimento15, experimento16, experimento17, experimento18, experimento19, experimento20, experimento21, experimento22, experimento23, experimento24, experimento25, experimento26, experimento27, experimento28, experimento29, experimento30
290.382210, 300.468645, 300.080272, 339.389143, 338.233665, 292.914483, 330.847470, 325.463799, 289.501043, 347.967819, 318.044596, 387.294051, 308.277364, 271.763771, 333.244664, 329.568418, 306.983154, 299.926894, 295.979258, 347.261522, 314.105303, 336.395218, 353.426958, 309.161009, 322.921287, 327.385054, 335.552470, 303.968366, 325.286653, 311.019274
290.382210, 233.266579, 300.080272, 258.013576, 267.761609, 292.914483, 256.242495, 279.079902, 256.527715, 216.993916, 286.478102, 280.370182, 289.087287, 229.641015, 267.822875, 285.029416, 268.617134, 299.926894, 295.979258, 316.061131, 305.426337, 332.087720, 273.696421, 272.406129, 268.615187, 327.385054, 249.843410, 273.404650, 296.027632, 267.121486
252.267625, 225.313163, 285.438702, 258.013576, 263.789793, 240.975944, 256.242495, 279.079902, 245.193010, 216.993916, 274.630425, 272.673501, 258.553171, 229.641015, 267.822875, 274.656097, 247.090035, 279.429516, 244.593576, 290.779118, 261.087847, 294.749775, 272.062968, 272.406129, 265.932896, 321.911556, 249.843410, 273.404650, 275.273646, 267.121486
252.267625, 225.313163, 261.202528, 258.013576, 263.789793, 240.975944, 217.554088, 279.079902, 245.193010, 216.993916, 216.275654, 272.673501, 258.553171, 228.241976, 267.822875, 266.188257, 247.090035, 279.429516, 244.593576, 290.779118, 261.087847, 240.860127, 272.062968, 272.406129, 264.900070, 261.673331, 249.843410, 273.404650, 253.976501, 203.891792
252.267625, 216.977228, 261.202528, 258.013576, 263.789793, 235.723634, 217.554088, 279.079902, 245.193010, 216.993916, 216.275654, 272.673501, 258.553171, 228.241976, 267.822875, 266.059605, 247.090035, 275.749197, 244.593576, 280.495906, 261.087847, 240.860127, 255.023492, 249.285213, 257.959140, 261.673331, 249.492688, 273.404650, 253.976501, 203.891792
252.267625, 216.977228, 261.202528, 258.013576, 263.789793, 235.723634, 217.554088, 247.594614, 245.193010, 216.993916, 216.275654, 255.848228, 258.553171, 228.241976, 267.822875, 254.581632, 247.090035, 267.275491, 244.593576, 280.495906, 261.087847, 226.279501, 253.297180, 249.285213, 257.959140, 261.673331, 249.492688, 254.779624, 253.976501, 203.891792
252.267625, 216.977228, 251.362203, 258.013576, 263.789793, 235.723634, 217.554088, 247.594614, 245.193010, 216.993916, 216.275654, 255.848228, 258.553171, 228.241976, 241.064141, 254.581632, 247.090035, 267.275491, 244.593576, 280.495906, 261.087847, 226.279501, 243.426494, 249.285213, 257.959140, 253.853216, 249.492688, 254.779624, 252.919606, 203.891792
252.267625, 216.977228, 251.362203, 258.013576, 246.870562, 235.723634, 217.554088, 247.594614, 245.193010, 216.993916, 216.275654, 255.848228, 187.779365, 228.241976, 241.064141, 229.665867, 247.090035, 267.275491, 244.593576, 280.495906, 261.087847, 226.279501, 243.426494, 220.825316, 257.959140, 237.265532, 229.045406, 254.779624, 251.939654, 203.891792
252.267625, 216.977228, 246.584848, 255.831326, 246.870562, 235.723634, 217.554088, 247.594614, 241.025670, 216.993916, 216.275654, 255.848228, 187.779365, 228.241976, 241.064141, 229.665867, 247.090035, 267.275491, 244.593576, 251.001188, 261.087847, 226.279501, 243.426494, 220.825316, 257.959140, 237.265532, 229.045406, 254.779624, 251.939654, 203.891792
252.267625, 216.977228, 246.584848, 255.831326, 246.870562, 235.723634, 217.554088, 247.594614, 241.025670, 216.993916, 216.275654, 255.848228, 187.779365, 228.241976, 241.064141, 229.665867, 247.090035, 267.275491, 231.189708, 239.518335, 229.043961, 226.279501, 243.426494, 220.825316, 257.959140, 237.265532, 229.045406, 254.779624, 251.939654, 203.891792
