experimento1, experimento2, experimento3, experimento4, experimento5, experimento6, experimento7, experimento8, experimento9, experimento10, experimento11, experimento12, experimento13, experimento14, experimento15, experimento16, experimento17, experimento18, experimento19, experimento20, experimento21, experimento22, experimento23, experimento24, experimento25, experimento26, experimento27, experimento28, experimento29, experimento30
377.511022, 369.943775, 368.257189, 375.674915, 405.183891, 290.621252, 339.423789, 424.787279, 347.019045, 356.146529, 336.101322, 379.766939, 365.274904, 404.114681, 370.290771, 360.338819, 345.110679, 396.700154, 363.966576, 365.079643, 422.613023, 413.362353, 358.362337, 345.327433, 374.345988, 392.812712, 337.866717, 363.172938, 301.162344, 403.815702
363.341045, 366.999644, 346.518708, 327.336030, 339.782346, 290.621252, 339.423789, 344.915735, 303.610826, 344.938447, 333.883415, 335.815204, 358.145137, 358.263857, 362.974545, 290.406763, 345.110679, 378.070283, 343.824672, 359.094815, 343.609621, 352.980179, 345.158141, 345.327433, 347.366825, 328.861969, 329.336643, 358.386309, 301.162344, 309.713810
299.199359, 327.056367, 318.844543, 322.085630, 339.782346, 290.621252, 339.423789, 344.915735, 303.610826, 273.937835, 253.972598, 267.287201, 358.145137, 304.489032, 356.599801, 290.406763, 333.598383, 344.606818, 306.166159, 345.232330, 307.614869, 275.106862, 345.158141, 345.327433, 341.337647, 328.861969, 329.336643, 299.549913, 301.162344, 309.713810
299.199359, 327.056367, 293.553399, 322.085630, 291.401496, 290.621252, 328.012343, 344.915735, 303.610826, 273.937835, 253.972598, 267.287201, 358.145137, 304.489032, 342.164582, 290.406763, 310.790487, 316.745106, 306.166159, 332.177652, 307.614869, 275.106862, 345.158141, 328.077144, 341.337647, 323.602693, 312.377729, 299.549913, 301.162344, 309.713810
299.199359, 327.056367, 293.553399, 280.638307, 275.391333, 290.621252, 328.012343, 287.335221, 303.610826, 273.937835, 253.972598, 267.287201, 344.881212, 304.489032, 308.717155, 290.406763, 310.790487, 316.745106, 306.166159, 296.244124, 307.614869, 275.106862, 313.569087, 321.260573, 341.337647, 323.602693, 312.377729, 299.549913, 301.162344, 309.713810
283.469912, 296.471490, 293.553399, 280.638307, 275.391333, 290.621252, 279.166646, 287.335221, 303.610826, 273.937835, 253.972598, 267.287201, 324.629106, 304.489032, 308.717155, 290.406763, 292.342468, 316.745106, 279.609896, 296.244124, 307.614869, 275.106862, 313.569087, 245.820304, 334.843601, 323.602693, 312.377729, 299.549913, 301.162344, 309.713810
283.469912, 296.471490, 293.553399, 280.638307, 275.391333, 290.621252, 279.166646, 287.335221, 303.610826, 273.937835, 253.972598, 267.287201, 312.338675, 271.362566, 308.717155, 290.406763, 292.342468, 316.745106, 279.609896, 296.244124, 307.614869, 275.106862, 313.569087, 245.820304, 334.843601, 323.602693, 312.377729, 299.549913, 301.162344, 309.713810
283.469912, 296.471490, 293.553399, 280.638307, 275.391333, 290.621252, 279.166646, 287.335221, 256.044939, 273.937835, 253.972598, 267.287201, 312.338675, 271.362566, 308.717155, 290.406763, 292.342468, 316.679875, 279.609896, 277.361653, 307.614869, 275.106862, 313.569087, 245.820304, 333.937616, 322.477650, 312.377729, 293.186130, 301.162344, 309.713810
283.469912, 296.471490, 293.553399, 280.638307, 275.391333, 290.621252, 267.435763, 287.335221, 256.044939, 273.937835, 253.972598, 267.287201, 312.338675, 271.362566, 308.717155, 290.406763, 292.342468, 287.459296, 279.609896, 277.361653, 307.614869, 275.106862, 303.816752, 245.820304, 333.937616, 322.477650, 312.377729, 293.186130, 301.162344, 309.713810
283.469912, 296.471490, 293.553399, 280.638307, 275.391333, 290.621252, 267.435763, 287.335221, 256.044939, 273.937835, 253.972598, 267.287201, 312.338675, 271.362566, 308.717155, 290.406763, 292.342468, 287.459296, 279.609896, 277.361653, 307.614869, 275.106862, 291.341586, 245.820304, 317.439677, 314.711686, 312.377729, 293.186130, 301.162344, 309.713810
283.469912, 296.471490, 293.553399, 280.638307, 275.391333, 290.621252, 267.435763, 287.335221, 256.044939, 273.937835, 253.972598, 267.287201, 310.147212, 271.362566, 308.717155, 290.406763, 277.754924, 287.459296, 268.906413, 277.361653, 307.614869, 275.106862, 291.341586, 245.820304, 317.439677, 314.711686, 312.377729, 293.186130, 301.162344, 286.654503
283.469912, 296.471490, 293.553399, 280.638307, 275.391333, 273.026230, 267.435763, 287.335221, 256.044939, 273.937835, 253.972598, 267.287201, 283.014083, 271.362566, 308.717155, 290.406763, 277.754924, 287.459296, 268.906413, 277.361653, 282.108952, 275.106862, 291.341586, 245.820304, 293.191172, 292.652334, 312.373513, 293.186130, 301.162344, 286.654503
