ano;m3s;log
jan/1931;1191;7,082654466
fev/1931;1600;7,377837798
mar/1931;2803;7,938490623
abr/1931;1768;7,477675765
mai/1931;861;6,758241498
jun/1931;632;6,449089828
jul/1931;466;6,144457705
ago/1931;352;5,863991677
set/1931;350;5,858296045
out/1931;522;6,257911141
nov/1931;750;6,62024288
dez/1931;801;6,686019962
jan/1932;1343;7,202756128
fev/1932;1701;7,439046611
mar/1932;1207;7,095999036
abr/1932;711;6,566852219
mai/1932;366;5,902982881
jun/1932;246;5,505852019
jul/1932;181;5,199205
ago/1932;184;5,215632825
set/1932;170;5,136553567
out/1932;393;5,974136622
nov/1932;698;6,5484034
dez/1932;972;6,879488272
jan/1933;1545;7,342862606
fev/1933;1535;7,336369693
mar/1933;1286;7,159392295
abr/1933;1177;7,070833892
mai/1933;480;6,174055523
jun/1933;341;5,832262036
jul/1933;244;5,497699107
ago/1933;187;5,23180189
set/1933;229;5,434288666
out/1933;402;5,996775215
nov/1933;883;6,783472453
dez/1933;1635;7,399477682
jan/1934;1618;7,389026605
fev/1934;1545;7,342863573
mar/1934;1240;7,122971887
abr/1934;1076;6,981127114
mai/1934;389;5,96391533
jun/1934;270;5,59890642
jul/1934;198;5,288928183
ago/1934;147;4,991323815
set/1934;263;5,572652708
out/1934;202;5,308917485
nov/1934;547;6,304689021
dez/1934;911;6,814687268
jan/1935;1792;7,491161055
fev/1935;2838;7,950901284
mar/1935;2663;7,887258104
abr/1935;2449;7,80348895
mai/1935;1254;7,134199061
jun/1935;732;6,595961123
jul/1935;545;6,301028579
ago/1935;404;6,001742673
set/1935;357;5,878107047
out/1935;538;6,28810515
nov/1935;955;6,861850385
dez/1935;1410;7,251439243
jan/1936;1220;7,106715173
fev/1936;1717;7,448411402
mar/1936;1788;7,488927482
abr/1936;1333;7,19528737
mai/1936;549;6,30834156
jun/1936;367;5,905725824
jul/1936;271;5,602612128
ago/1936;220;5,394235709
set/1936;261;5,565033501
out/1936;284;5,649446195
nov/1936;524;6,261747726
dez/1936;776;6,65432557
jan/1937;962;6,869154166
fev/1937;1240;7,122975143
mar/1937;1165;7,060591929
abr/1937;975;6,882575671
mai/1937;475;6,163598701
jun/1937;268;5,591490531
jul/1937;185;5,221085834
ago/1937;139;4,935446254
set/1937;106;4,664715014
out/1937;497;6,208862523
nov/1937;977;6,884625399
dez/1937;1709;7,443743072
jan/1938;1496;7,310640928
fev/1938;1576;7,362731504
mar/1938;1210;7,098488046
abr/1938;678;6,519348059
mai/1938;325;5,784244331
jun/1938;243;5,493622469
jul/1938;180;5,193714802
ago/1938;136;4,913658795
set/1938;170;5,136602324
out/1938;253;5,533930177
nov/1938;381;5,943158751
dez/1938;1011;6,918830781
jan/1939;2049;7,625174095
fev/1939;1987;7,594450335
mar/1939;1362;7,216810365
abr/1939;1011;6,918831232
mai/1939;490;6,194686237
jun/1939;339;5,826406365
jul/1939;287;5,659962465
ago/1939;177;5,176928989
set/1939;258;5,553494704
out/1939;599;6,395492311
nov/1939;936;6,841763253
dez/1939;980;6,887693832
jan/1940;2010;7,605958936
fev/1940;4093;8,317067358
mar/1940;4247;8,354000811
abr/1940;1849;7,522475357
mai/1940;1186;7,078458799
jun/1940;827;6,717972937
jul/1940;602;6,400488878
ago/1940;476;6,165711754
set/1940;563;6,333529225
out/1940;606;6,407112904
nov/1940;961;6,868121941
dez/1940;1346;7,204998309
jan/1941;1588;7,370320718
fev/1941;1743;7,463445458
mar/1941;1912;7,555980538
abr/1941;1419;7,257809771
mai/1941;489;6,192659998
jun/1941;369;5,911192575
jul/1941;296;5,690855114
ago/1941;201;5,304037902
set/1941;272;5,606346073
out/1941;467;6,146647481
nov/1941;897;6,799222245
dez/1941;948;6,854512594
jan/1942;1236;7,119757408
fev/1942;1994;7,597973735
mar/1942;1783;7,486137709
abr/1942;1181;7,074245807
mai/1942;480;6,174104746
jun/1942;336;5,817568188
jul/1942;246;5,505958253
ago/1942;182;5,204857177
set/1942;519;6,252203413
out/1942;538;6,288148673
nov/1942;890;6,791397546
dez/1942;1882;7,540173925
jan/1943;3497;8,159705914
fev/1943;2876;7,96421086
mar/1943;2828;7,947381317
abr/1943;1694;7,434942214
mai/1943;727;6,589147143
jun/1943;553;6,315649217
jul/1943;407;6,009210379
ago/1943;309;5,73386646
set/1943;320;5,76883008
out/1943;535;6,282572443
nov/1943;1153;7,050264918
dez/1943;1830;7,512161308
jan/1944;1447;7,277362064
fev/1944;2018;7,609944491
mar/1944;1616;7,387812379
abr/1944;1029;6,936505315
mai/1944;463;6,138089691
jun/1944;379;5,937980843
jul/1944;261;5,565168395
ago/1944;198;5,289124309
set/1944;151;5,018407929
out/1944;425;6,052491587
nov/1944;566;6,338897365
dez/1944;1430;7,265550213
jan/1945;3103;8,040180398
fev/1945;3234;8,081528702
mar/1945;3948;8,281008511
abr/1945;3875;8,262346044
mai/1945;1876;7,536990622
jun/1945;1073;6,978377778
jul/1945;785;6,665908723
ago/1945;596;6,390538078
set/1945;500;6,21496385
out/1945;921;6,825653863
nov/1945;1690;7,432589811
dez/1945;3250;8,086465591
jan/1946;2980;7,999739119
fev/1946;2222;7,706244433
mar/1946;1899;7,549178347
abr/1946;1190;7,081861722
mai/1946;692;6,539850183
jun/1946;403;5,999391778
jul/1946;294;5,684205823
ago/1946;224;5,412470499
set/1946;243;5,493824019
out/1946;270;5,599110613
nov/1946;553;6,315695422
dez/1946;675;6,514990058
jan/1947;1252;7,132647607
fev/1947;1807;7,499527594
mar/1947;2493;7,821317929
abr/1947;1672;7,421889253
mai/1947;700;6,551352211
jun/1947;524;6,261856051
jul/1947;401;5,994439087
ago/1947;446;6,100749849
set/1947;303;5,714369057
out/1947;564;6,335397224
nov/1947;930;6,835393268
dez/1947;1439;7,271839013
jan/1948;1506;7,317342116
fev/1948;1454;7,282208426
mar/1948;1901;7,550238746
abr/1948;1064;6,969975995
mai/1948;511;6,236756655
jun/1948;405;6,004376954
jul/1948;294;5,68425667
ago/1948;220;5,394534913
set/1948;246;5,506145576
out/1948;357;5,878298535
nov/1948;811;6,698516585
dez/1948;3365;8,121243332
jan/1949;2140;7,66865589
fev/1949;3077;8,031776491
mar/1949;1818;7,505604507
abr/1949;1301;7,171045786
mai/1949;684;6,528258015
jun/1949;409;6,014218506
jul/1949;298;5,697786354
ago/1949;216;5,376237116
set/1949;177;5,177323081
out/1949;300;5,704476996
nov/1949;550;6,310298302
dez/1949;900;6,802627711
jan/1950;794;6,677348302
fev/1950;982;6,889806066
mar/1950;1531;7,333814566
abr/1950;972;6,879574304
mai/1950;411;6,019112129
jun/1950;251;5,526305309
jul/1950;181;5,199684059
ago/1950;149;5,005402674
set/1950;135;4,906896776
out/1950;222;5,403671255
nov/1950;563;6,333674964
dez/1950;733;6,597452221
jan/1951;995;6,902970722
fev/1951;1067;6,972820777
mar/1951;1371;7,223464188
abr/1951;1201;7,091104327
mai/1951;553;6,3157853
jun/1951;433;6,071288696
jul/1951;309;5,734120795
ago/1951;246;5,506320864
set/1951;239;5,477489608
out/1951;213;5,362448468
nov/1951;236;5,464882307
dez/1951;716;6,57402943
jan/1952;530;6,273352881
fev/1952;697;6,547150282
mar/1952;1879;7,538631527
abr/1952;658;6,489599015
mai/1952;453;6,116471166
jun/1952;262;5,5693545
