amostra	GBEST
1	360.668507
20	258.607018
40	246.877393
60	237.024236
80	237.024236
100	223.638011
1	319.96442
20	264.189585
40	264.019822
60	260.209934
80	251.359491
100	239.387736
1	379.152241
20	224.442263
40	224.442263
60	224.442263
80	224.442263
100	224.442263
1	269.89559
20	253.390961
40	198.123371
60	198.123371
80	198.123371
100	198.123371
1	292.384926
20	274.82393
40	264.654634
60	246.05896
80	243.693377
100	243.693377
1	363.264969
20	245.346806
40	245.346806
60	235.584205
80	235.584205
100	235.584205
1	369.51676
20	269.827443
40	232.445174
60	232.445174
80	232.445174
100	232.445174
1	341.458753
20	254.804825
40	226.137556
60	226.137556
80	226.137556
100	226.137556
1	298.354328
20	261.367799
40	259.1015
60	237.479802
80	212.824345
100	212.824345
1	353.518335
20	281.977837
40	232.078194
60	211.985188
80	211.985188
100	211.985188
1	328.772293
20	237.126609
40	237.126609
60	237.126609
80	237.126609
100	237.126609
1	325.67741
20	273.900912
40	247.838998
60	220.011006
80	220.011006
100	220.011006
1	314.427316
20	256.608623
40	232.126049
60	213.614451
80	213.614451
100	213.614451
1	336.174965
20	246.847776
40	240.601778
60	232.568334
80	231.991751
100	231.991751
1	342.62051
20	225.368037
40	225.368037
60	225.368037
80	225.368037
100	203.614375
1	338.870175
20	261.586596
40	242.230289
60	219.507838
80	219.507838
100	219.507838
1	343.501617
20	275.412313
40	248.638745
60	244.119384
80	244.119384
100	244.119384
1	313.960555
20	267.414534
40	262.184546
60	262.184546
80	262.184546
100	237.661544
1	312.700321
20	257.510803
40	234.714045
60	234.714045
80	234.714045
100	231.812482
1	339.537196
20	289.892964
40	255.677753
60	255.677753
80	222.597102
100	222.597102
1	334.194099
20	247.486968
40	247.486968
60	247.486968
80	246.505296
100	232.266364
1	297.318685
20	253.345705
40	214.930099
60	214.930099
80	214.930099
100	214.930099
1	321.835371
20	233.46347
40	233.46347
60	230.781883
80	230.781883
100	230.781883
1	338.599981
20	264.592982
40	264.592982
60	245.298862
80	238.946142
100	238.946142
1	328.419574
20	269.408505
40	251.919795
60	222.808154
80	222.808154
100	222.808154
1	313.9205
20	222.495993
40	222.495993
60	222.495993
80	211.637567
100	211.637567
1	384.970112
20	256.355894
40	256.355894
60	256.355894
80	217.401069
100	217.401069
1	319.411374
20	219.820645
40	219.820645
60	219.820645
80	219.820645
100	219.820645
1	342.755729
20	272.453438
40	214.138741
60	214.138741
80	214.138741
100	214.138741
1	344.146186
20	247.395175
40	223.430499
60	223.430499
80	223.430499
100	223.430499
