amostra	GBEST
1	354.605526
20	256.032665
40	256.032665
60	256.032665
80	237.122575
100	237.122575
1	353.883236
20	241.180938
40	241.180938
60	237.39832
80	237.9832
100	231.413723
1	354.498804
20	286.990725
40	255.213964
60	249.104855
80	249.104855
100	225.835759
1	342.262988
20	230.620528
40	230.620528
60	230.620528
80	230.620528
100	230.620528
1	346.713489
20	242.297881
40	242.297881
60	237.725318
80	237.725318
100	237.725318
1	379.591168
20	265.444592
40	248.645199
60	248.645199
80	248.645199
100	233.709478
1	281.009344
20	222.973787
40	222.973787
60	216.106395
80	216.106395
100	216.106395
1	299.676109
20	236.638266
40	235.043174
60	235.043174
80	233.284014
100	233.284014
1	360.083186
20	227.978461
40	227.978461
60	227.978461
80	227.978461
100	227.978461
1	345.070445
20	242.532693
40	241.607998
60	203.346515
80	203.346515
100	203.346515
1	391.940091
20	262.429622
40	245.174363
60	235.744126
80	235.744126
100	235.744126
1	321.425171
20	241.284486
40	241.284486
60	241.284486
80	241.284486
100	241.284486
1	262.415919
20	198.893728
40	198.893728
60	198.893728
80	198.893728
100	198.893728
1	356.509889
20	241.089037
40	241.089037
60	234.495652
80	234.495652
100	234.495652
1	336.458643
20	234.296339
40	234.296339
60	204.939101
80	204.939101
100	204.939101
1	333.6309
20	251.10091
40	251.10091
60	251.10091
80	251.10091
100	251.10091
1	395.563182
20	261.453436
40	246.095811
60	241.353012
80	241.353012
100	234.807559
1	325.063252
20	242.917583
40	242.917583
60	242.917583
80	212.102372
100	212.102372
1	346.850805
20	255.051668
40	252.462934
60	237.566656
80	232.798255
100	232.798255
1	318.280628
20	256.365205
40	235.557789
60	235.557789
80	223.39483
100	223.39483
1	377.186412
20	264.00464
40	255.917295
60	237.039438
80	237.039438
100	209.877438
1	335.633884
20	228.589911
40	228.589911
60	222.713116
80	222.713116
100	222.713116
1	325.055752
20	254.75715
40	240.24988
60	235.660466
80	235.660466
100	235.660466
1	325.972308
20	246.381331
40	246.381331
60	246.381331
80	245.286428
100	185.823018
1	361.814535
20	255.725429
40	236.01616
60	236.01616
80	236.01616
100	236.1616
1	271.755224
20	228.597583
40	228.597583
60	228.597583
80	228.597583
100	228.597583
1	315.492685
20	240.431983
40	240.431983
60	240.431983
80	240.431983
100	240.431983
1	310.287176
20	239.810058
40	233.958037
60	233.958037
80	221.066755
100	221.066755
1	330.653452
20	258.865777
40	213.251467
60	213.251467
80	213.251467
100	213.251467
1	290.673262
20	228.38358
40	228.38358
60	228.38358
80	228.38358
100	228.38358
