amostra	GBEST
1	342.770989
20	256.069997
40	252.200925
60	226.391399
80	226.391399
100	226.391399
1	355.246433
20	246.580524
40	246.580524
60	246.580524
80	246.580524
100	241.19625
1	287.653374
20	251.262325
40	251.262325
60	237.780846
80	237.780846
100	237.780846
1	371.956611
20	273.397499
40	221.632705
60	221.632705
80	221.632705
100	221.632705
1	337.099039
20	258.118243
40	258.118243
60	239.394176
80	206.749933
100	206.749933
1	350.094625
20	263.491943
40	237.733592
60	237.733592
80	237.733592
100	237.733592
1	356.38546
20	185.272949
40	185.272949
60	185.272949
80	185.272949
100	185.272949
1	357.812602
20	283.876354
40	265.63318
60	202.585777
80	202.585777
100	202.585777
1	327.971314
20	283.091332
40	262.63718
60	233.077748
80	233.077748
100	233.077748
1	375.636846
20	247.614697
40	247.614697
60	245.406172
80	245.406172
100	245.406172
1	400.584071
20	204.219742
40	204.219742
60	204.219742
80	204.219742
100	204.219742
1	398.229405
20	256.025826
40	256.025826
60	251.870309
80	251.870309
100	251.870309
1	372.253051
20	231.649045
40	231.649045
60	231.649045
80	231.649045
100	231.649045
1	271.499587
20	237.061309
40	237.061309
60	237.061309
80	237.061309
100	233.103542
1	314.632304
20	266.5168
40	248.319344
60	243.348775
80	243.348775
100	243.348775
1	344.962299
20	250.551291
40	250.551291
60	250.551291
80	233.347442
100	233.347442
1	329.839153
20	262.274002
40	248.613791
60	197.840245
80	197.840245
100	197.840245
1	322.815994
20	258.064518
40	242.086692
60	236.597931
80	236.597931
100	236.597931
1	339.91335
20	196.224347
40	196.224347
60	196.224347
80	196.224347
100	196.224347
1	339.985934
20	229.857008
40	229.857008
60	229.857008
80	229.857008
100	227.168363
1	298.286756
20	229.242054
40	229.242054
60	229.242054
80	229.242054
100	229.242054
1	333.830421
20	256.629338
40	256.629338
60	225.428479
80	225.428479
100	225.428479
1	367.937218
20	290.186182
40	255.793852
60	255.793852
80	255.793852
100	255.793852
1	316.578493
20	298.349946
40	250.212259
60	250.212259
80	249.571469
100	249.571469
1	325.369198
20	275.107394
40	250.873623
60	250.873623
80	250.873623
100	241.812945
1	289.215258
20	250.535238
40	211.794225
60	211.794225
80	211.794225
100	211.794225
1	351.410233
20	253.923373
40	207.332875
60	207.332875
80	207.332875
100	207.332875
1	396.512866
20	254.462527
40	254.462527
60	235.571108
80	209.628087
100	209.628087
1	299.450501
20	238.623821
40	238.623821
60	238.623821
80	238.623821
100	238.623821
1	348.67294
20	244.267657
40	244.267657
60	225.368273
80	225.368273
100	210.701928
