amostra	GBEST
1	377.511022
20	280.782782
40	234.881731
60	234.881731
80	234.881731
100	234.881731
1	369.943775
20	266.914116
40	266.914116
60	266.914116
80	262.929685
100	262.929685
1	368.257189
20	257.705781
40	257.705781
60	231.388838
80	231.388838
100	231.388838
1	375.674915
20	280.638307
40	274.696139
60	274.696139
80	263.936864
100	263.936864
1	405.183891
20	275.391333
40	201.915849
60	201.915849
80	201.915849
100	201.915849
1	290.621252
20	225.338313
40	225.338313
60	225.338313
80	225.338313
100	225.338313
1	339.423789
20	267.435763
40	245.217961
60	245.217961
80	245.217961
100	245.217961
1	424.787279
20	268.728584
40	268.728584
60	268.728584
80	244.268079
100	244.268079
1	347.019045
20	256.044939
40	220.410658
60	220.410658
80	220.410658
100	220.410658
1	356.146529
20	273.937835
40	273.937835
60	262.583318
80	262.583318
100	239.46854
1	336.101322
20	253.972598
40	253.972598
60	245.936379
80	245.936379
100	245.936379
1	379.766939
20	262.035231
40	262.035231
60	262.035231
80	262.035231
100	262.035231
1	365.274904
20	253.768261
40	253.768261
60	253.768261
80	241.24938
100	241.24938
1	404.114681
20	271.362566
40	271.362566
60	218.022044
80	218.022044
100	218.022044
1	370.290771
20	301.241535
40	301.241535
60	271.341721
80	271.341721
100	269.319396
1	360.338819
20	290.406763
40	266.428112
60	255.686423
80	255.686423
100	254.543211
1	345.110679
20	277.754924
40	248.760943
60	248.760943
80	248.760943
100	248.760943
1	396.700154
20	287.459296
40	280.650053
60	278.940437
80	278.940437
100	265.153714
1	363.966576
20	268.906413
40	268.906413
60	250.696799
80	250.696799
100	250.696799
1	365.079643
20	277.361653
40	277.361653
60	277.361653
80	277.361653
100	277.361653
1	422.613023
20	253.928864
40	253.928864
60	253.928864
80	253.928864
100	238.216283
1	413.362353
20	275.106862
40	275.106862
60	262.788573
80	253.751844
100	253.751844
1	358.362337
20	267.041365
40	267.041365
60	267.041365
80	267.041365
100	267.041365
1	345.327433
20	245.820304
40	222.999936
60	222.552832
80	222.552832
100	222.552832
1	374.345988
20	293.191172
40	270.030454
60	270.030454
80	270.030454
100	232.347327
1	392.812712
20	290.407881
40	278.274219
60	278.274219
80	251.474587
100	251.474587
1	337.866717
20	268.670145
40	260.18794
60	260.18794
80	260.18794
100	260.18794
1	363.172938
20	293.18613
40	281.840174
60	281.840174
80	274.073498
100	253.804311
1	301.162344
20	301.162344
40	287.759018
60	287.759018
80	208.289792
100	208.289792
1	403.815702
20	268.716471
40	268.716471
60	237.509845
80	215.655541
100	215.655541
