experimento1, experimento2, experimento3, experimento4, experimento5, experimento6, experimento7, experimento8, experimento9, experimento10, experimento11, experimento12, experimento13, experimento14, experimento15, experimento16, experimento17, experimento18, experimento19, experimento20, experimento21, experimento22, experimento23, experimento24, experimento25, experimento26, experimento27, experimento28, experimento29, experimento30
362.707161, 328.211220, 324.515759, 337.092904, 334.480104, 330.750076, 337.112170, 298.215850, 340.918007, 314.679886, 365.823999, 327.726508, 336.328176, 335.155079, 324.630409, 336.619260, 291.279548, 339.415018, 327.083050, 305.370944, 329.146406, 309.861402, 346.741270, 309.492163, 311.403980, 319.195980, 360.145195, 334.803410, 304.937316, 347.283380
285.311897, 287.460388, 258.199156, 293.859809, 316.869184, 279.073963, 254.562308, 294.940117, 251.129818, 290.591718, 315.559713, 327.726508, 297.677946, 335.155079, 289.692111, 236.976901, 280.906795, 310.646706, 293.620324, 305.370944, 319.758567, 309.861402, 294.375846, 309.492163, 244.750441, 319.195980, 302.773783, 334.803410, 304.678265, 275.136370
285.311897, 287.460388, 258.199156, 270.234550, 316.869184, 279.073963, 254.562308, 294.940117, 251.129818, 285.418918, 315.559713, 321.881668, 297.677946, 286.897903, 289.692111, 236.976901, 271.259485, 265.449179, 273.471213, 288.456006, 271.743368, 295.762773, 294.375846, 265.971128, 244.750441, 290.754819, 298.955952, 320.207062, 293.491632, 275.136370
285.311897, 287.460388, 258.199156, 270.234550, 276.545441, 279.073963, 254.562308, 272.091206, 251.129818, 262.748075, 310.368609, 275.802563, 295.680180, 286.897903, 289.692111, 236.976901, 264.358439, 265.449179, 254.677721, 271.466911, 271.743368, 295.762773, 294.375846, 265.971128, 244.750441, 263.697919, 249.932301, 297.974399, 293.491632, 275.136370
285.311897, 281.456724, 258.199156, 270.234550, 259.589543, 279.073963, 254.562308, 272.091206, 251.129818, 262.748075, 274.753618, 275.802563, 295.680180, 286.897903, 269.194858, 236.976901, 264.358439, 263.316270, 254.677721, 271.466911, 271.743368, 281.092827, 207.715638, 265.971128, 244.750441, 258.486557, 249.932301, 297.974399, 293.491632, 268.415532
285.311897, 281.456724, 258.199156, 260.671421, 259.589543, 279.073963, 254.562308, 272.091206, 251.129818, 262.748075, 262.874853, 275.802563, 295.680180, 286.897903, 269.194858, 236.976901, 264.358439, 263.316270, 254.677721, 271.466911, 271.743368, 281.092827, 207.715638, 265.971128, 244.750441, 258.486557, 249.932301, 288.951605, 283.720393, 268.415532
285.311897, 281.456724, 258.199156, 260.671421, 259.589543, 256.182907, 254.562308, 272.091206, 251.129818, 262.748075, 262.874853, 275.802563, 274.960221, 284.591745, 269.194858, 236.976901, 264.358439, 263.316270, 254.677721, 259.037677, 271.743368, 281.092827, 207.715638, 265.971128, 244.750441, 258.486557, 249.932301, 260.719134, 283.720393, 268.415532
285.311897, 281.456724, 258.199156, 260.671421, 259.589543, 256.182907, 254.562308, 272.091206, 251.129818, 262.748075, 262.874853, 256.263269, 274.960221, 284.591745, 264.520983, 236.976901, 264.358439, 263.316270, 254.677721, 259.037677, 271.743368, 280.208025, 207.715638, 265.971128, 244.750441, 258.486557, 245.775187, 260.719134, 267.347431, 268.415532
285.311897, 281.456724, 258.199156, 260.671421, 259.589543, 256.182907, 254.562308, 270.966143, 251.129818, 244.115459, 262.874853, 253.062511, 274.353777, 284.591745, 264.520983, 236.976901, 264.358439, 263.316270, 254.677721, 259.037677, 271.743368, 280.208025, 207.715638, 265.971128, 244.750441, 258.486557, 245.775187, 260.719134, 267.347431, 268.415532
285.311897, 281.456724, 258.199156, 260.671421, 259.589543, 256.182907, 213.852811, 270.966143, 251.129818, 244.115459, 262.874853, 253.062511, 274.353777, 284.591745, 248.669185, 236.976901, 264.358439, 263.316270, 254.677721, 259.037677, 271.743368, 280.208025, 207.715638, 265.971128, 244.750441, 252.131401, 245.775187, 229.393408, 267.347431, 268.415532
285.311897, 281.456724, 258.199156, 260.671421, 259.589543, 256.182907, 213.852811, 270.966143, 251.129818, 244.115459, 262.874853, 253.062511, 274.353777, 284.591745, 248.669185, 236.976901, 264.358439, 263.316270, 254.677721, 259.037677, 271.743368, 271.602387, 207.715638, 265.971128, 244.750441, 252.131401, 235.343942, 229.393408, 267.347431, 268.415532
