experimento1, experimento2, experimento3, experimento4, experimento5, experimento6, experimento7, experimento8, experimento9, experimento10, experimento11, experimento12, experimento13, experimento14, experimento15, experimento16, experimento17, experimento18, experimento19, experimento20, experimento21, experimento22, experimento23, experimento24, experimento25, experimento26, experimento27, experimento28, experimento29, experimento30
381.725258, 378.072604, 361.383701, 325.481774, 368.805381, 335.615482, 314.084162, 357.439650, 323.351088, 332.102740, 360.884724, 339.656798, 293.441072, 404.237472, 343.277973, 322.803750, 359.151945, 336.280963, 333.889081, 349.054637, 347.852664, 374.527671, 341.983938, 347.036935, 374.616844, 374.140624, 365.546283, 388.771564, 339.228405, 373.229100
313.497979, 304.816821, 332.785080, 299.955149, 289.637561, 314.438859, 293.204577, 306.227287, 323.351088, 332.102740, 345.482438, 339.656798, 293.441072, 249.133976, 327.697627, 322.803750, 268.549279, 336.280963, 302.674650, 326.772611, 285.451473, 328.444635, 285.981170, 346.600413, 340.168125, 374.140624, 302.666157, 318.153790, 339.228405, 283.343534
313.497979, 304.816821, 332.785080, 299.955149, 289.637561, 314.438859, 293.204577, 306.227287, 311.697561, 324.540407, 345.482438, 306.739623, 293.441072, 249.133976, 288.508535, 322.803750, 268.549279, 282.842016, 302.674650, 326.772611, 260.492825, 328.444635, 265.434706, 288.461535, 340.168125, 350.995697, 281.238464, 318.153790, 304.967426, 283.343534
304.580712, 304.816821, 332.294843, 268.532393, 289.637561, 314.344358, 293.204577, 306.227287, 311.697561, 288.286784, 314.995757, 306.739623, 258.797230, 249.133976, 288.508535, 296.883663, 268.549279, 278.441869, 302.674650, 326.772611, 260.492825, 282.728604, 265.434706, 268.029345, 334.242231, 326.076972, 281.238464, 298.185092, 289.345013, 283.343534
304.370789, 304.816821, 295.055213, 268.532393, 289.637561, 314.344358, 293.204577, 282.764673, 292.172331, 284.145794, 295.380745, 304.977152, 258.797230, 249.133976, 288.508535, 296.883663, 268.549279, 278.441869, 302.674650, 280.190505, 260.492825, 278.378929, 265.434706, 268.029345, 303.087400, 326.076972, 281.238464, 298.185092, 289.345013, 283.343534
304.370789, 304.816821, 295.055213, 268.532393, 289.637561, 314.344358, 293.204577, 282.764673, 277.102644, 282.920870, 295.380745, 304.977152, 258.797230, 249.133976, 288.508535, 296.883663, 268.549279, 278.441869, 290.397409, 280.190505, 260.492825, 278.378929, 265.434706, 268.029345, 303.087400, 295.404300, 281.238464, 298.185092, 289.345013, 283.343534
265.539500, 304.816821, 295.055213, 268.532393, 289.637561, 287.809432, 263.051838, 282.764673, 277.102644, 282.920870, 295.380745, 304.977152, 258.797230, 249.133976, 288.508535, 296.883663, 263.258787, 278.441869, 290.397409, 280.190505, 260.492825, 278.378929, 265.434706, 268.029345, 303.087400, 295.404300, 277.893916, 250.257092, 289.345013, 283.343534
265.539500, 304.816821, 295.055213, 268.532393, 289.637561, 287.809432, 263.051838, 282.764673, 234.192501, 277.247133, 295.380745, 301.389945, 258.797230, 249.133976, 288.508535, 296.883663, 263.258787, 273.104063, 290.397409, 280.190505, 260.492825, 278.378929, 265.434706, 268.029345, 303.087400, 295.404300, 247.716095, 250.257092, 289.345013, 283.343534
265.539500, 304.816821, 295.055213, 268.532393, 289.637561, 287.809432, 263.051838, 282.764673, 234.192501, 277.247133, 295.380745, 301.389945, 258.797230, 249.133976, 288.508535, 296.883663, 263.258787, 273.104063, 286.372071, 280.190505, 260.492825, 278.378929, 265.434706, 266.410671, 303.087400, 295.404300, 247.716095, 250.257092, 289.345013, 283.343534
265.539500, 304.816821, 295.055213, 268.532393, 283.897710, 285.478118, 263.051838, 263.801442, 234.192501, 277.247133, 295.380745, 301.389945, 258.797230, 249.133976, 288.508535, 288.154238, 263.258787, 273.104063, 284.734044, 280.190505, 260.492825, 278.378929, 265.434706, 266.410671, 303.087400, 295.404300, 247.716095, 250.257092, 289.345013, 283.343534
265.539500, 304.816821, 295.055213, 268.532393, 283.897710, 285.405525, 263.051838, 263.801442, 234.192501, 277.247133, 295.380745, 301.389945, 258.797230, 249.133976, 288.508535, 288.154238, 262.562138, 273.104063, 284.734044, 251.516305, 260.492825, 278.378929, 265.434706, 266.410671, 303.087400, 284.436448, 247.716095, 250.257092, 272.991587, 283.343534
265.539500, 304.816821, 295.055213, 268.532393, 283.897710, 285.405525, 263.051838, 263.801442, 234.192501, 277.247133, 295.380745, 301.389945, 258.797230, 249.133976, 288.508535, 288.154238, 260.583842, 273.104063, 284.734044, 251.516305, 260.492825, 278.378929, 265.434706, 266.410671, 302.616914, 284.436448, 247.716095, 250.257092, 272.991587, 282.467563
265.539500, 304.816821, 295.055213, 268.532393, 283.897710, 285.405525, 263.051838, 240.123249, 234.192501, 277.247133, 295.380745, 301.389945, 258.797230, 249.133976, 262.269619, 268.975554, 260.583842, 273.104063, 284.734044, 251.516305, 260.492825, 278.378929, 265.434706, 266.410671, 297.660372, 284.436448, 247.716095, 250.257092, 272.991587, 282.467563
265.539500, 304.816821, 295.055213, 268.532393, 283.897710, 281.823412, 263.051838, 240.123249, 234.192501, 277.247133, 295.380745, 301.389945, 258.797230, 249.133976, 262.269619, 268.975554, 260.583842, 273.104063, 284.734044, 251.516305, 260.492825, 278.378929, 265.434706, 266.410671, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 281.971599
265.539500, 304.816821, 295.055213, 268.532393, 283.897710, 281.823412, 263.051838, 240.123249, 234.192501, 277.247133, 295.380745, 301.389945, 258.797230, 249.133976, 262.269619, 268.975554, 260.583842, 273.104063, 284.734044, 251.516305, 260.492825, 278.378929, 265.434706, 266.410671, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 281.971599
265.539500, 304.816821, 272.562345, 268.532393, 271.002774, 281.823412, 263.051838, 240.123249, 234.192501, 277.247133, 294.137844, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 260.583842, 273.104063, 284.734044, 251.516305, 258.668365, 278.378929, 265.434706, 266.410671, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 281.971599
265.539500, 304.816821, 272.562345, 268.532393, 271.002774, 272.094598, 263.051838, 240.123249, 234.192501, 277.247133, 285.038535, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 260.583842, 273.104063, 284.734044, 251.516305, 258.668365, 278.378929, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 281.971599
265.539500, 303.551582, 272.562345, 268.532393, 271.002774, 272.094598, 263.051838, 240.123249, 234.192501, 277.247133, 285.038535, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 260.583842, 273.104063, 284.734044, 251.516305, 258.668365, 278.378929, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 281.971599
265.539500, 303.551582, 272.562345, 268.532393, 271.002774, 272.094598, 263.051838, 240.123249, 234.192501, 277.247133, 243.168242, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 244.370731, 273.104063, 284.734044, 234.939981, 258.668365, 278.378929, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 280.832310
265.539500, 289.079910, 272.562345, 268.532393, 271.002774, 272.094598, 263.051838, 240.123249, 234.192501, 277.247133, 243.168242, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 244.370731, 273.104063, 284.734044, 234.939981, 258.668365, 278.378929, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 280.832310
265.539500, 289.079910, 272.562345, 268.532393, 271.002774, 272.094598, 257.261560, 240.123249, 234.192501, 277.247133, 243.168242, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 244.370731, 273.104063, 284.734044, 234.939981, 258.668365, 278.378929, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 280.832310
265.539500, 289.079910, 272.562345, 268.532393, 271.002774, 272.094598, 257.261560, 240.123249, 234.192501, 277.247133, 243.168242, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 244.370731, 273.104063, 284.734044, 234.939981, 258.668365, 278.378929, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 280.832310
265.539500, 289.079910, 272.562345, 268.532393, 271.002774, 272.094598, 257.261560, 240.123249, 234.192501, 277.247133, 243.168242, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 244.370731, 273.104063, 284.734044, 234.939981, 258.668365, 278.378929, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 272.991587, 280.832310
265.539500, 289.079910, 272.562345, 268.532393, 271.002774, 272.094598, 257.261560, 240.123249, 234.192501, 277.247133, 243.168242, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 244.370731, 273.104063, 284.734044, 234.939981, 258.668365, 256.813262, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 254.128106, 280.832310
265.539500, 289.079910, 272.562345, 268.532393, 271.002774, 272.094598, 257.261560, 240.123249, 234.192501, 277.247133, 243.168242, 272.728500, 258.797230, 249.133976, 262.269619, 268.975554, 244.370731, 273.104063, 284.734044, 234.939981, 258.668365, 256.813262, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 254.128106, 280.832310
265.539500, 289.079910, 272.562345, 268.532393, 271.002774, 272.094598, 257.261560, 240.123249, 234.192501, 277.247133, 243.168242, 272.728500, 258.797230, 249.133976, 262.269619, 258.229335, 244.370731, 273.104063, 281.892519, 234.939981, 258.668365, 249.193949, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 254.128106, 280.832310
265.539500, 289.079910, 272.562345, 268.532393, 271.002774, 272.094598, 257.261560, 240.123249, 234.192501, 277.247133, 243.168242, 272.728500, 258.797230, 249.133976, 262.269619, 258.229335, 244.370731, 273.104063, 281.892519, 234.939981, 258.668365, 249.193949, 265.434706, 263.712201, 234.495640, 284.436448, 247.716095, 250.257092, 254.128106, 272.162422
