experimento1, experimento2, experimento3, experimento4, experimento5, experimento6, experimento7, experimento8, experimento9, experimento10, experimento11, experimento12, experimento13, experimento14, experimento15, experimento16, experimento17, experimento18, experimento19, experimento20, experimento21, experimento22, experimento23, experimento24, experimento25, experimento26, experimento27, experimento28, experimento29, experimento30
375.810595, 374.103872, 379.475269, 406.133181, 306.955720, 370.831923, 315.151391, 384.721570, 319.255228, 343.230342, 326.896016, 407.212063, 401.117421, 406.730212, 377.801338, 380.915876, 357.538361, 332.306346, 377.345082, 376.349393, 361.331755, 270.368682, 332.071164, 339.867649, 365.853925, 353.422140, 371.024843, 313.045211, 390.280448, 369.905757
310.164510, 361.977398, 370.129482, 392.429297, 306.955720, 283.370742, 315.151391, 346.609140, 319.255228, 343.230342, 326.896016, 374.103544, 370.661407, 321.018313, 334.773309, 379.213570, 357.538361, 332.306346, 377.345082, 376.349393, 320.169444, 270.368682, 332.071164, 327.189841, 357.269501, 353.422140, 348.408050, 313.045211, 390.280448, 348.347010
310.164510, 330.329560, 336.331220, 376.811601, 306.955720, 283.370742, 315.151391, 313.932864, 319.255228, 343.230342, 326.896016, 374.103544, 337.311204, 321.018313, 334.773309, 354.481509, 318.351643, 328.899771, 339.052287, 330.473729, 320.169444, 270.368682, 332.071164, 327.189841, 350.961772, 348.975429, 348.101281, 313.045211, 318.798861, 348.347010
310.164510, 330.329560, 316.040017, 337.859286, 306.955720, 283.370742, 314.711250, 313.932864, 319.255228, 343.230342, 326.896016, 342.781343, 337.311204, 321.018313, 264.612571, 354.481509, 283.374807, 320.596961, 339.052287, 325.776673, 320.169444, 270.368682, 299.488996, 314.596492, 312.667715, 348.975429, 348.101281, 313.045211, 313.547777, 348.347010
310.164510, 330.329560, 313.375054, 337.859286, 306.955720, 283.370742, 314.711250, 313.932864, 302.180227, 334.963217, 326.896016, 342.781343, 318.981645, 265.743338, 264.612571, 354.481509, 263.263982, 317.454538, 339.052287, 278.771067, 320.169444, 270.368682, 299.488996, 314.596492, 312.667715, 269.008563, 348.101281, 313.045211, 313.547777, 325.530174
310.164510, 301.365342, 313.375054, 331.727571, 306.955720, 283.370742, 314.711250, 313.932864, 302.180227, 301.220078, 326.896016, 323.724648, 318.981645, 265.743338, 264.612571, 310.050517, 263.263982, 317.454538, 334.722731, 278.771067, 320.169444, 270.368682, 258.942391, 314.596492, 312.667715, 269.008563, 348.101281, 313.045211, 313.547777, 256.944059
301.389025, 301.365342, 313.375054, 322.461376, 271.976567, 283.370742, 314.711250, 310.469974, 302.180227, 300.273305, 321.495708, 323.724648, 318.981645, 239.092875, 264.612571, 310.050517, 263.263982, 317.454538, 323.823168, 278.771067, 320.169444, 270.368682, 258.942391, 314.596492, 312.667715, 269.008563, 304.128655, 313.045211, 313.547777, 256.944059
290.121258, 301.365342, 313.375054, 272.929067, 271.976567, 283.370742, 285.829187, 310.469974, 302.180227, 300.273305, 321.495708, 323.724648, 318.981645, 239.092875, 264.612571, 310.050517, 263.263982, 317.454538, 300.930601, 278.771067, 282.368392, 270.368682, 258.942391, 278.244285, 312.667715, 269.008563, 304.128655, 313.045211, 313.547777, 256.944059
290.121258, 301.365342, 280.798332, 272.929067, 271.880577, 283.370742, 285.829187, 310.469974, 302.180227, 300.273305, 321.495708, 310.246645, 318.981645, 239.092875, 264.612571, 310.050517, 263.263982, 273.546036, 300.930601, 246.026748, 278.091894, 270.368682, 258.942391, 278.244285, 312.667715, 253.887648, 303.451474, 257.509556, 301.353456, 256.944059
290.121258, 301.365342, 280.798332, 272.929067, 271.880577, 283.370742, 285.829187, 297.146509, 302.180227, 282.534451, 311.005618, 310.246645, 297.436354, 239.092875, 264.612571, 310.050517, 263.263982, 273.546036, 300.930601, 246.026748, 278.091894, 270.368682, 258.942391, 278.244285, 312.667715, 253.887648, 303.451474, 257.509556, 270.391021, 256.944059
