@relation peril-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute e1 numeric
@attribute e2 numeric
@attribute e3 numeric
@attribute e4 numeric
@attribute e5 numeric
@attribute e6 numeric
@attribute e7 numeric
@attribute e8 numeric
@attribute e9 numeric
@attribute e10 numeric
@attribute e11 numeric
@attribute e12 numeric
@attribute s1 {0.4912,0.575,0.629,0.6691,0.701,0.7275,0.75,0.7695,0.7866,0.8018,0.8154,0.8276,0.8388,0.8582,0.8667,0.8745,0.8818,0.8947,0.9059,0.9157,0.9201,0.9243}

@data
1,0,0,0,1,0,0,1,1,0,0,0,0.575
0,0,0,0,0,0,0,1,0,0,1,0,0.575
0,0,0,1,0,1,0,0,1,0,0,1,0.575
1,0,0,0,0,0,0,1,0,1,0,0,0.4912
0,0,1,1,1,1,0,1,1,0,0,1,0.4912
0,1,0,0,1,1,0,1,0,1,0,0,0.7866
0,0,0,0,0,0,0,1,0,0,0,0,0.575
0,1,0,0,1,1,0,1,0,1,0,0,0.8018
0,0,1,1,1,0,1,1,0,0,0,1,0.575
1,0,0,1,0,0,0,0,1,0,0,0,0.6691
1,0,1,1,1,1,0,1,1,0,0,0,0.7275
1,0,1,1,0,0,1,0,1,1,0,0,0.8154
0,1,0,0,0,0,0,0,0,0,0,0,0.9157
1,0,0,0,0,0,0,1,0,1,0,0,0.629
0,1,1,1,1,1,0,1,0,0,0,0,0.6691
0,0,1,1,0,0,0,0,1,1,0,0,0.7275
0,0,0,0,0,0,0,1,0,0,0,0,0.575
1,0,0,0,1,1,0,1,0,1,0,0,0.9243
1,0,1,0,0,0,1,0,1,0,0,0,0.8276
0,0,1,1,1,0,1,1,0,0,0,0,0.4912
0,0,1,1,1,1,0,0,0,0,0,1,0.7275
0,0,0,1,0,0,0,0,1,0,0,1,0.575
0,0,0,0,0,0,0,1,0,0,0,0,0.6691
0,1,0,0,0,0,0,0,0,0,0,1,0.6691
1,0,1,1,1,1,0,1,1,0,0,0,0.7695
1,0,0,0,1,1,0,1,0,1,0,0,0.4912
1,0,1,0,0,0,0,0,0,1,0,0,0.575
0,0,0,0,0,0,0,0,0,0,0,0,0.575
1,0,0,1,0,0,0,1,1,1,0,0,0.4912
1,0,0,0,0,0,0,0,0,0,0,0,0.6691
1,0,0,0,1,0,0,1,1,0,0,0,0.6691
1,0,0,0,0,0,0,1,0,1,0,0,0.7275
0,1,0,1,1,0,1,0,0,0,0,0,0.9157
0,0,1,1,1,0,1,1,0,0,0,0,0.701
0,0,1,1,1,1,0,0,0,0,0,0,0.8018
0,0,0,0,0,0,0,1,0,1,0,0,0.575
1,0,0,0,1,1,0,1,0,1,0,0,0.7695
0,0,0,1,0,0,0,0,1,0,0,0,0.575
1,0,1,1,0,0,0,0,1,1,0,1,0.629
0,1,1,0,1,0,1,1,1,1,0,0,0.7275
1,0,0,0,0,0,0,0,0,0,0,0,0.7695
0,1,0,0,1,0,1,0,0,1,0,0,0.701
0,0,1,1,1,1,0,1,1,0,0,0,0.6691
1,0,0,1,0,1,0,0,1,0,1,0,0.7275
1,0,0,0,0,0,0,1,0,1,0,1,0.6691
0,1,0,1,0,0,0,1,1,1,0,1,0.9157
0,0,1,1,0,0,1,0,1,1,0,1,0.575
1,0,1,1,1,0,1,1,0,0,0,0,0.701
1,0,1,1,1,1,0,1,1,0,0,0,0.629
0,1,0,0,1,0,0,1,1,0,0,0,0.629
0,0,0,1,0,1,0,0,1,0,0,0,0.701
0,0,0,0,0,0,0,0,0,0,0,0,0.7695
1,0,0,0,0,0,0,1,0,1,0,0,0.9243
0,0,0,1,0,1,0,0,1,0,0,0,0.575
1,0,0,0,0,0,0,1,0,1,0,0,0.8947
0,0,1,1,0,0,0,0,1,1,0,1,0.6691
1,0,1,1,1,1,0,1,1,0,0,0,0.575
0,1,0,1,0,0,0,0,1,0,0,1,0.7275
1,0,0,0,0,0,0,0,0,0,0,0,0.7695
1,0,0,0,0,0,0,1,0,1,0,1,0.6691
0,0,0,0,0,0,0,1,0,1,0,0,0.8018
1,0,1,1,1,1,0,1,0,0,0,0,0.6691
0,0,0,1,0,0,0,1,1,1,0,0,0.8388
1,0,0,1,0,0,0,1,1,0,0,0,0.75
1,0,1,1,1,1,0,0,0,0,0,0,0.7695
0,0,0,0,0,0,0,0,0,0,0,0,0.575
